atmos_temp,flow_rate,pwm,voltage,current,battery_temp
29.50,0.00,0,11.71,1.96,30.40
29.60,0.00,0,11.82,1.92,30.30
29.50,0.00,0,11.82,1.93,30.30
29.40,0.00,0,11.78,1.91,30.30
29.50,0.00,0,11.87,1.90,30.40
29.50,0.00,0,11.80,1.89,30.40
29.40,0.00,0,11.86,1.89,30.40
29.50,0.00,0,11.81,1.89,30.50
29.50,0.00,0,11.82,1.96,30.50
29.50,0.00,0,11.78,1.91,30.50
29.50,0.00,0,11.82,1.95,30.40
29.40,0.00,0,11.82,1.88,30.40
29.40,0.00,0,11.78,1.89,30.40
29.50,0.00,0,11.79,1.93,30.50
29.40,0.00,0,11.81,1.90,30.40
29.40,0.00,0,11.84,1.92,30.40
29.50,0.00,0,11.80,1.91,30.40
29.40,0.00,0,11.83,1.90,30.30
29.40,0.00,0,11.79,1.90,30.30
29.40,0.00,0,11.84,1.95,30.30
29.40,0.00,0,11.84,1.90,30.30
29.40,0.00,0,11.77,1.91,30.30
29.40,0.00,0,11.84,1.94,30.20
29.30,0.00,0,11.79,1.90,30.10
29.50,0.00,0,11.80,1.94,30.20
29.40,0.00,0,11.85,1.87,30.10
29.30,0.00,0,11.84,1.93,30.10
29.40,0.00,0,11.82,1.94,30.00
29.40,0.00,0,11.79,1.92,30.10
29.30,0.00,0,11.83,1.90,30.10
29.40,0.00,0,11.79,1.90,30.00
29.40,0.00,0,11.77,1.91,30.10
29.30,0.00,0,11.75,1.87,30.00
29.40,0.00,0,11.79,1.87,30.00
29.40,0.00,0,11.85,1.93,30.00
29.30,0.00,0,11.84,1.90,30.00
29.30,0.00,0,11.83,1.92,30.00
29.30,0.00,0,11.87,1.82,29.90
29.40,0.00,0,11.80,1.91,30.00
29.30,0.00,0,11.75,1.94,30.00
29.40,0.00,0,11.83,1.91,30.00
29.30,0.00,0,11.84,1.96,29.80
29.30,0.00,0,11.75,1.92,29.80
29.30,0.00,0,11.84,1.92,29.80
29.40,0.00,0,11.83,1.90,29.80
29.30,0.00,0,11.83,1.91,29.80
29.40,0.00,0,11.79,1.93,29.80
29.40,0.00,0,11.79,1.87,29.80
29.40,0.00,0,11.80,1.88,29.90
29.30,0.00,0,11.80,1.94,29.90
29.40,0.00,0,11.83,1.92,29.80
29.40,0.00,0,11.80,1.95,29.80
29.30,0.00,0,11.83,1.94,29.80
29.40,0.00,0,11.82,1.91,29.80
29.30,0.00,0,11.84,1.94,29.80
29.40,0.00,0,11.81,1.92,29.80
29.40,0.00,0,11.86,1.95,29.80
29.40,0.00,0,11.78,1.88,29.80
29.40,0.00,0,11.84,1.89,29.80
29.40,0.00,0,11.84,1.90,29.80
29.40,0.00,0,11.77,1.90,29.80
29.40,0.00,0,11.82,1.91,29.70
29.40,0.00,0,11.81,1.91,29.80
29.40,0.00,0,11.79,1.89,29.80
29.40,0.00,0,11.80,1.93,29.80
29.40,0.00,0,11.81,1.88,29.80
29.40,0.00,0,11.79,1.81,29.80
29.40,0.00,0,11.83,1.93,29.80
29.40,0.00,0,11.82,1.91,29.80
29.50,0.00,0,11.80,1.91,29.80
29.40,0.00,0,11.80,1.90,29.80
29.40,0.00,0,11.79,1.92,29.80
29.40,0.00,0,11.79,1.88,29.80
29.50,0.00,0,11.79,1.92,29.80
29.50,0.00,0,11.81,1.90,29.80
